"","CRIM","ZN","NOX","RM","DIS","RAD","TAX","PTRATIO","B","LSTAT","MEDV"
"1",19.6091,0,0.671,7.313,1.3163,24,666,20.2,396.9,13.44,25.3215026883263
"2",15.288,0,0.671,6.649,1.3449,24,666,20.2,363.02,23.24,17.6788895662855
"3",88.9762,0,0.671,6.968,1.4165,24,666,20.2,396.9,17.21,15.2833346596148
"4",20.0849,0,0.7,4.368,1.4395,24,666,20.2,285.83,30.63,3.53477918032344
"5",24.3938,0,0.7,4.652,1.4672,24,666,20.2,396.9,28.28,6.38461612577116
"6",25.0461,0,0.693,5.987,1.5888,24,666,20.2,396.9,26.77,11.9374963957237
"7",41.5292,0,0.693,5.531,1.6074,24,666,20.2,329.46,27.38,7.74627060694063
"8",20.7162,0,0.659,4.138,1.1781,24,666,20.2,370.22,23.34,8.53626194064017
"9",14.4383,0,0.597,6.852,1.4655,24,666,20.2,179.36,19.78,19.9532145352425
"10",51.1358,0,0.597,5.757,1.413,24,666,20.2,2.6,10.11,16.1898565487064
"11",14.0507,0,0.597,6.657,1.5275,24,666,20.2,35.05,21.22,17.1053843925175
"12",10.8342,0,0.679,6.782,1.8195,24,666,20.2,21.57,25.79,13.2332195403728
"13",11.0874,0,0.718,6.411,1.8589,24,666,20.2,318.75,15.02,19.5353825999284
"14",12.0482,0,0.614,5.648,1.9512,24,666,20.2,291.55,14.1,18.7906893869115
"15",15.8603,0,0.679,5.896,1.9096,24,666,20.2,7.68,24.39,10.0231041893457
"16",22.0511,0,0.74,5.818,1.8662,24,666,20.2,391.45,22.11,12.7291994280984
"17",12.8023,0,0.74,5.854,1.8956,24,666,20.2,240.52,23.79,11.4252635122194
"18",15.5757,0,0.58,5.926,2.9084,24,666,20.2,368.74,18.13,17.149980144238
"19",13.0751,0,0.58,5.713,2.8237,24,666,20.2,396.9,14.76,18.8180647425365
"20",0.00632,18,0.538,6.575,4.09,1,296,15.3,396.9,4.98,30.3178400715699
"21",0.14455,12.5,0.524,6.172,5.9505,5,311,15.2,396.9,19.15,19.2921663676874
"22",0.11747,12.5,0.524,6.009,6.2267,5,311,15.2,396.9,13.27,21.4433215045984
"23",0.63796,0,0.538,6.096,4.4619,4,307,21,380.02,10.26,19.3210779439085
"24",1.05393,0,0.538,5.935,4.4986,4,307,21,386.85,6.58,20.6861938259262
"25",1.25179,0,0.538,5.57,3.7979,4,307,21,376.57,21.02,12.5503852614278
"26",1.23247,0,0.538,6.142,3.9769,4,307,21,396.9,18.72,15.776925951948
"27",0.67191,0,0.538,5.813,4.682,4,307,21,376.88,14.81,15.4610135013862
"28",1.00245,0,0.538,6.674,4.239,4,307,21,380.23,11.98,20.8104136366603
"29",1.35472,0,0.538,6.072,4.175,4,307,21,376.73,13.04,18.0843126036597
"30",1.15172,0,0.538,5.701,3.7872,4,307,21,358.77,18.35,14.3332773462488
"31",0.09744,0,0.499,5.841,3.3779,5,279,19.2,377.56,11.41,22.4947023927032
"32",0.17505,0,0.499,5.966,3.8473,5,279,19.2,393.43,10.13,23.0419546550061
"33",0.15936,0,0.448,6.211,5.7209,3,233,17.9,394.46,7.44,24.5903983625533
"34",0.22927,0,0.448,6.03,5.6894,3,233,17.9,392.74,18.8,17.8290044183205
"35",0.21977,0,0.448,5.602,6.0877,3,233,17.9,396.9,16.2,17.091486401485
"36",0.04337,21,0.439,6.115,6.8147,4,243,16.8,393.97,9.43,23.9746926747829
"37",0.04981,21,0.439,5.998,6.8147,4,243,16.8,396.9,8.43,24.1146927967544
"38",0.02055,85,0.41,6.383,9.1876,2,313,17.3,396.9,5.77,25.5383605951397
"39",0.04379,80,0.398,5.787,6.6115,4,337,16.1,396.9,10.24,26.3771313058671
"40",0.13554,12.5,0.409,5.594,6.498,4,345,18.9,396.9,13.09,17.7473663805842
"41",0.19539,0,0.413,6.245,5.2873,4,305,19.2,377.17,7.54,24.1870117065985
"42",0.07896,0,0.437,6.273,4.2515,5,398,18.7,394.92,6.78,25.8336829369204
"43",0.09512,0,0.437,6.286,4.5026,5,398,18.7,383.23,8.94,24.2158312705514
"44",0.08387,0,0.437,5.874,4.5026,5,398,18.7,396.06,9.1,22.7480981641385
"45",0.04113,25,0.426,6.727,5.4007,4,281,19,396.9,5.29,28.6931455531252
"46",0.04462,25,0.426,6.619,5.4007,4,281,19,395.63,7.22,27.2471298759108
"47",0.03551,25,0.426,6.167,5.4007,4,281,19,390.64,7.51,25.4028620967405
"48",0.05059,0,0.449,6.389,4.7794,3,247,18.5,396.9,9.62,24.8426073446379
"49",0.05302,0,0.489,7.079,3.4145,2,270,17.8,396.06,5.7,30.9720399441795
"50",0.03932,0,0.489,6.405,3.0921,2,270,17.8,393.55,8.2,27.6546959022231
"51",0.14866,0,0.52,6.727,2.7778,5,384,20.9,394.76,9.42,24.8239130575185
"52",0.22876,0,0.52,6.405,2.7147,5,384,20.9,70.8,10.63,20.1691775248636
"53",0.13117,0,0.52,6.127,2.1224,5,384,20.9,387.69,14.09,21.0844375513987
"54",0.26363,0,0.52,6.229,2.5451,5,384,20.9,391.23,15.55,20.0260257536598
"55",0.14231,0,0.547,6.254,2.2565,6,432,17.8,388.74,10.45,25.4866661411057
"56",0.15098,0,0.547,6.021,2.7474,6,432,17.8,394.51,10.3,24.0041587089995
"57",0.09299,0,0.581,5.961,2.0869,2,188,19.1,378.09,17.93,20.0366630368175
"58",0.16902,0,0.581,5.986,1.9929,2,188,19.1,385.02,14.81,22.013469228525
"59",0.25915,0,0.624,5.693,1.7883,4,437,21.2,392.11,17.19,15.283658944623
"60",0.55778,0,0.624,6.335,2.1107,4,437,21.2,394.67,16.96,17.233030776207
"61",0.32264,0,0.624,5.942,1.9669,4,437,21.2,378.25,16.9,15.9353679911857
"62",0.35233,0,0.624,6.454,1.8498,4,437,21.2,394.08,14.59,19.3667579485115
"63",3.32105,0,0.871,5.403,1.3216,5,403,14.7,396.9,26.82,11.4433084962683
"64",4.0974,0,0.871,5.468,1.4118,5,403,14.7,396.9,26.42,11.6807386036232
"65",2.37934,0,0.871,6.13,1.4191,5,403,14.7,172.91,27.8,11.4749384292795
"66",2.36862,0,0.871,4.926,1.4608,5,403,14.7,391.71,29.53,8.0724487775794
"67",2.33099,0,0.871,5.186,1.5296,5,403,14.7,356.99,28.32,9.2537381632284
"68",2.14918,0,0.871,5.709,1.6232,5,403,14.7,261.95,15.79,16.9309913790552
"69",2.44668,0,0.871,5.272,1.7364,5,403,14.7,88.63,16.14,13.3845705885516
"70",1.46336,0,0.605,7.489,1.9709,5,403,14.7,374.43,1.73,36.6791217991108
"71",1.51902,0,0.605,8.375,2.162,5,403,14.7,388.45,3.32,38.8653287295516
"72",2.24236,0,0.605,5.854,2.422,5,403,14.7,395.11,11.64,24.7931622796955
"73",2.924,0,0.605,6.101,2.2834,5,403,14.7,240.16,9.81,25.4332238646755
"74",1.80028,0,0.605,5.877,2.4259,5,403,14.7,227.61,12.14,23.1321627966517
"75",2.3004,0,0.605,6.319,2.1,5,403,14.7,297.09,11.1,26.3892503057504
"76",2.44953,0,0.605,6.402,2.2625,5,403,14.7,330.04,11.32,26.6013317887977
"77",2.3139,0,0.605,5.88,2.3887,5,403,14.7,348.13,12.03,24.2987784055092
"78",0.13914,0,0.51,5.572,2.5961,5,296,16.6,396.9,14.69,23.1955207812023
"79",0.05425,0,0.51,6.315,3.3175,5,296,16.6,395.6,6.29,29.2989121592272
"80",0.0578,0,0.488,6.98,2.829,3,193,17.8,396.9,5.04,32.9544917602349
"81",0.06588,0,0.488,7.765,2.741,3,193,17.8,395.56,7.56,34.5738516066918
"82",0.06888,0,0.488,6.144,2.5979,3,193,17.8,396.9,9.45,27.8949064469585
"83",0.10008,0,0.488,6.563,2.847,3,193,17.8,396.9,5.68,31.0606065011718
"84",0.08308,0,0.488,5.604,2.9879,3,193,17.8,391,13.98,22.8224791092495
"85",0.06047,0,0.488,6.153,3.2797,3,193,17.8,387.11,13.15,24.7776445846389
"86",0.05602,0,0.488,7.831,3.1992,3,193,17.8,392.63,4.45,35.7503568053278
"87",0.04666,80,0.404,7.107,7.309,2,329,12.6,354.31,8.61,33.2855145306495
"88",0.03445,82.5,0.415,6.162,6.27,2,348,14.7,393.77,7.43,30.227705343215
"89",0.0351,95,0.4161,7.853,5.118,4,224,14.7,392.78,3.81,42.5627468397028
"90",0.13642,0,0.489,5.891,3.9454,4,277,18.6,396.9,10.87,22.7558365877794
"91",0.22969,0,0.489,6.326,4.3549,4,277,18.6,394.87,10.97,23.6163615816673
"92",0.25199,0,0.489,5.783,4.3549,4,277,18.6,389.43,18.06,17.7645965932043
"93",0.13587,0,0.489,6.064,4.2392,4,277,18.6,381.32,14.66,20.7399421093346
"94",0.17446,0,0.489,5.96,3.8771,4,277,18.6,393.25,17.27,19.623289787601
"95",0.37578,0,0.489,5.404,3.665,4,277,18.6,395.24,23.98,14.3108803609725
"96",0.21719,0,0.489,5.807,3.6526,4,277,18.6,390.94,16.03,20.06213441677
"97",0.14052,0,0.489,6.375,3.9454,4,277,18.6,385.81,9.38,25.2194801532044
"98",0.19802,0,0.489,6.182,3.9454,4,277,18.6,393.63,9.47,24.53416262844
"99",0.11425,0,0.55,6.373,3.3633,5,276,16.4,393.74,10.5,26.7573511153697
"100",0.62356,0,0.507,6.879,3.2721,8,307,17.4,390.39,9.93,29.3698631986429
"101",0.6147,0,0.507,6.618,3.2721,8,307,17.4,396.9,7.6,29.7376914461349
