Review_ID,Rating,Comments
1,4.5,  Their biriyani is something to die for. I will never mind traveling for miles to eat meghanas special biriyani. It has always been my favorite biriyani place till date. The place is okay and they have limited seating so the wait is longer. But it's worth it.
2,5,"  “boneless biriyani “ Whenever I hear this name, the only place which comes to my mind is Meghanas. #enoughsaid The ambience is not great in kormangla branch. It is very cluttered"
3,5,  The biryanis here come under the top 5 in bangalore for sure. Needless to say that most customers i saw were ordering the same Would certainly recommend a visit for avid biryani fans.
4,4,  Ordered chicken biryani and Guntur chicken and the food was really good. The salan and raita were not good and can be worked upon for improvement. The Staffs are really good and helpful
5,5,"  Always I highly recommend this place for biriyani.., it's an Sooo juicy and lovely rice with more aromatic flavors some spices added it's gives us more attention to have biriyani., I love this place"
6,4,"  Been to Bangalore for a small trip and really afraid about the taste of food I am gonna get in Bangalore, then found this shop I ordered mutton biriyani along with chicken 65 , the taste is really good.. really satisfactory.. really happy"
7,4,  Visited this place on an afternoon with my parents after writing the COMED K exam. Had heard a lot about this place and the reviews on zomato increased my cravings for the biryani at this place to a higher level. The order was simple 1) MEGHANA SPECIAL BIRYANI : This chicken biryani is served in a huge quantity and the taste is just brilliant. By far this is the top biryani ever tasted by me in a restaurant. This is the first time I saw a biryani being served with the pieces served on the top of the rice. The quantity is humongous. If you are a newbie to the Meghana’s franchise then just go for this biryani. 2) Meghana’s Paneer Biryani : This was very good indeed. As it’s known to all non veg lovers that veg biryani doesn’t exist and so called biryani is a pulao. But wait this is no pulao. This is a delicious paneer BIRYANI. And probably the best biryani for vegetarians too. And once again the quantity is humongous. 3) Prawn starter which was that day’s special : This was actually small prawns which was cooked very well. The quantity was also very good. Though slightly on the pricy side one would never regret paying the bill. All in all I will recommend this place. Interesting fact : This place is loved by both non vegetarians and vegetarians.
8,4,"  Who doesn’t know about meghana in Bangalore! If you love rice and spice, this is the place to go for their scrumptious biryani! I especially love their boneless chicken biryani. The chicken is cut into small pieces, very well marinated and spiced and is topped onto the flavourful biryani rice. For someone like me who isn’t fond of the big bland white pieces of chicken, this is the perfect treat! Have also tried the dum aloo biryani, and multiple starters: everything is delicious. The only bummer is it’s always full and you need to wait to get a table anytime. Not very fond of the ambience - nothing great or bad about it though."
9,4,  Out right one of the best chicken biryani I've had with no compromise on the taste in a take away ! MUST have meghanas special chicken biryani...it's delicious !!
10,5,"  Boneless chicken biryani... Recommended Bit spicy, but chicken masala will be too good. Rice and chicken gravy will be seperately served. Enough for 2 people... Worth for money"
11,4,"  Meghanas was a favourite haunt for those of us who studied in Christ for their delectable Meghana Special Chicken Biryani. The boneless biryani is full of flavour and the portions are huge. I’ve on occasion tried their paneer biryani, chicken 65, mutton pepper fry and chicken kebabs as well and all of the above taste good. But what takes me back to this popular food haunt every time I visit bangalore is their yummy full of goodness biryani."
12,4,"  A decent small place located between all the hustle and bustle of Koramangala. All of my friends from North are a crazy fan of the Biryanis served here. Top favourites amongst the Biryani: Chicken boneless biryani, aloo dum biryani, Prawns Biryani For starter you should definitely try chilly fish, prawns fry and mutton pepper fry. Always crowded, shows the demand the place has! Overall Experience: Taste:4/5 Ambience:4/5 Value for money:4/5"
13,4,"  A small place which serves food till late in the night. So if you were partying hard and forgot to order food it is the place for you. We ordered a home delivery of Paneer 65 and Chilli paneer in starters. Super spicy but quite tasty. Good quality and tastes good even when cold. Veg biryani - The best veg biryani I have tasted till date. Long grained rice with flavourful veggie gravy. They pack the rice and veggies separately and you have to mix it at home. They also provide extra gravy and raita but the biryani tastes great even by itself. The large potato chunks in the biryani is delicious. Though I am a vegetarian, my friends who tried the chicken biryani tell me that there is no difference between the veg and chicken biryani except for the chicken which is a rarity. Going to go here for biryani again and again. Totally recommended."
